text,dialect
@Alhilal_FC ويوم ماتقدرون ليه ماتركتو الرياضيه تنقله   او بس   لعانه  فينا,SA
فرحة بابا بس يشوفني قاعده معهم عالغدا😭💘 مانحرم منك يارب,PL
@nehad_n0 @ab_hass_m تعمل ريبورت ع الرحله من الاكونت بتاعها,EG
تو قبل صارتلي كارثه,LY
@sanabelmaj اسكتي يوزعوا شاورما ببلاش 😂,PL
@kamalshymaa ربنا يطول في عمرك.  بلاش الكلام ده,EG
@palestine9876 @HlaBibo @DAbwainy @amkl1313 يا عمري ههههه شكلها ماتت يااارب تروح فيها من غيرتهاا وقحتهاا,SY
"@TheEinas @such_as_breeze @ali_95IQ @actortaim هووووو ده الي صارلي ايام احجي بي 
😡😔",IQ
"@mohdewaid @sudan_rock @MageedMohmmed ياأخي جيت قلته شنو دي حكومه ماتمت ليها اسي سبعه يوم ياخ لسه في وزارات شاغره لسه حتي مااختارو ليها الوزراء بتاعنها تطالب ليك بمسيره وانتا الجايب الحكومه دي ياالمهنيين وقحت في ناس لسه تصريحاتهم زاته مهزوزا في كم يوم شنطهم الجوبيها مافتحوها دايرهم اعينو
ثم دا شغل القضاء",SD
@Sh3aib 🤓والله إذا خطبت او تزوجت يا شعيب أنا بموت قهر 💔💔💔,SD
"@ba3tharat_najma شنو هالاحراج 😂
بعدين احنا ع تويتر شبيدنا غير الامنيات بالسعادة والعمر المديد 😍😜",IQ
"من أول يوم في الحرب للأن ما لبست بجامة النوم في البيت!
لإمتى هالحال؟",PL
@bu5alled من امس اقول عسى حد سجل هاللقطه 😍💜,AE
@fdeet_alnssr @lolotot2_k بن عويد شي طبيعي الواحد يحب بلده، بس انك تترجم موضوع واضح بموضوع اخر حسب هواك ميصير، لو شنو الفرق بينك وبين اي نصاب بتويتر، حب الوطن مو بالتلفيق والكذب، ترجم التغريده ترجمه صحيحه ولاتألف من راسك، مو كل الخلك هنا مايعرف يفك خط.,IQ
"حمد بوحمد

مايعرف عبدالله ماوي
يقول عبدالله المطيري

ومايعرف فيصل زايد
يقول فيصل الحربي

ومايعرف فهد حمود
يقول فهد الرشيدي

واضح إنه مو متابع ومايعرف أسماء اللاعبين",KW
@safa_ss8 بس لو مو مقلب.. لك اللي تبينه من هدايا,SA
اسلام تعالي نلعب فطبول @eslammarafe95 #زد_رصيدك6,JO
بعد اللي تعرضتله من تعذيب من قبل المليشيات وبعد شوفت فيديو #التعذيب للإفريقي أيقنت اننا شعب فقد كل القيم... https://t.co/ummoBpmSbk,LY
@al3taib511 @smartmind2000 كلامج منطقي وواقعي وهذا أللي المفروض يصير بارك ألله فيج وعسى ألله يوفق الجميع يارب🤲....,KW
"@Etshh72 قال يعني انت كنت بتقطعنا قبل كده 😅😂
تيجي بالسلامة ❤️",EG
"@s3dqatar يا زين نظام أول:
تصريح للمعلم: ""لك اللحم و لنا العظم""
و ف البيت العصر خيزران رايحه مناك المطبخ و رادة داخل مع تخفيف السرعة و إلقاء نظرة عليك أنت و كتابك، حفظنا و نجحنا بجهدنا مب بأعصاب أمهاتنا و فورة دمهم و توترهم.",QA
@alraban2030 الجواب عند صانع السوق,KW
ماراح نموت من الجوع اذا قاطعنا هاي الشركات الفاسدة .. خلي لبنهم وحليبهم الهم بكرا بصيرو يحكو اشتري علبة والثانية مجانا !!! https://t.co/NoGVT1YO13,JO
@binmansoor @noon @TwitterMENA ما فهمت يا بن منصور. يعني أنا الحين أقدر أروح لتويتر مباشرة وأعلن بمبلغ 10 دراهم. ليش أروح لبن منصور وأعطيه 12 درهم يحط 2 في مخباه والباقي لتويتر؟,AE
@BatoolSHiari @khaberni ولا هي لحظة وتعدي,JO
"للاسف والله ,,ربي يفرج علينا يارب @Putin195",LY
فهمان و راقي جدا و بحترمك و بعزك جدا 💙,PL
@abdullahalsaleh انت محتاج اتعيش في ايران عسب اتعرف الحصار اللي بيحبه قلبك هناك,AE
@omaralsomah عمر مبروك عليك الجمهور الجديد جمهور الشبيحة اللي قتلوا شردوا اهل بلدك,SY
@smersal91 عادى توا نخش بيه وين المشكله,LY
"@rasheedalfaam الي يجب اخذ عقال بن عاقول الي لسب فيه الضيوف بعرس امه ، ويخلي بزران البدو رياجيل يدرسثن ويروحون لاهلهم 

وزلايب الحضر حمود وخلود هو قصيصته مع رفيجته ،، وجماعة استغفر الله استغفر الله الفرقه الداجه 

التعليم بخطر والوزير داج مايدري وين الدنيا رايحه",KW
@Maryamalsherooq @ebrahimalmannai ومن سمح له يتكلم نيابة عن الشعب !! باقي بس يقول  المواطنين لا يحتاجون للراتب الي عندهم مكفيهم وزيادة !!,BH
